"ParticipantID","Age","Location","DietType","LocalFoodFrequency","TransportationMode","EnergySource","HomeType","HomeSize","ClothingFrequency","SustainableBrands","EnvironmentalAwareness","CommunityInvolvement","MonthlyElectricityConsumption","MonthlyWaterConsumption","Gender","UsingPlasticProducts","DisposalMethods","PhysicalActivities","Rating","energy_score","transportation_score","disposal_score","electricity_score","water_score","sustainability_score"
258,31,"Suburban","Balanced","Sometimes","Public Transit","Non-Renewable","House",1682,"Often",TRUE,1,"Moderate",414,1745,"Male","Rarely","Recycling","Low",2,1,2,2,1.20289855072464,3.00859598853868,1.72114945392633
259,63,"Urban","Mostly Plant-Based","Often","Public Transit","Mixed","House",1577,"Sometimes",TRUE,2,"Moderate",288,1987,"Male","Often","Recycling","Moderate",3,2,2,2,1.72916666666667,2.64217413185707,2.03713407985237
260,47,"Rural","Mostly Plant-Based","Often","Bike","Non-Renewable","House",1859,"Rarely",FALSE,5,"Low",170,2966,"Male","Rarely","Combination","Low",3,1,3,NA,2.92941176470588,1.77006068779501,NA
261,75,"Suburban","Mostly Plant-Based","Rarely","Car","Non-Renewable","Apartment",2766,"Often",TRUE,3,"High",188,4923,"Female","Rarely","Landfill","Low",2,1,1,1,2.64893617021277,1.06642291285801,1.17153590830708
262,39,"Rural","Balanced",NA,"Car","Non-Renewable","Other",1544,"Sometimes",FALSE,2,"Moderate",470,2771,"Prefer not to say","Rarely","Combination","High",2,1,1,NA,1.05957446808511,1.89462287982678,NA
263,42,"Urban","Mostly Plant-Based","Rarely","Walk","Renewable","Apartment",2439,"Always",TRUE,2,"High",380,1524,"Non-Binary","Often","Landfill","High",4,3,3,1,1.31052631578947,3.44488188976378,2.47554082055533
264,44,"Suburban","Mostly Plant-Based",NA,"Bike","Renewable","Apartment",2042,"Sometimes",FALSE,3,"High",484,4232,"Female","Often","Composting","Low",4,3,3,3,1.02892561983471,1.24054820415879,2.62694738239935
265,22,"Urban","Mostly Animal-Based","Sometimes","Car","Renewable","Other",583,"Sometimes",FALSE,2,"Low",394,3390,"Male","Often","Recycling","High",2,3,1,2,1.26395939086294,1.54867256637168,1.88126319572346
266,24,"Rural","Mostly Plant-Based","Often","Walk","Non-Renewable","Apartment",2618,"Rarely",TRUE,2,"High",479,3944,"Female","Often","Recycling","High",3,1,3,2,1.03966597077244,1.33113590263692,1.83708018734094
267,71,"Suburban","Mostly Animal-Based","Rarely","Car","Renewable","Other",599,"Sometimes",FALSE,4,"High",374,1429,"Female",NA,"Composting","Low",2,3,1,3,1.33155080213904,3.6738978306508,2.30054486327898
268,64,"Urban","Mostly Plant-Based","Often","Bike","Mixed","House",590,"Often",TRUE,5,"Moderate",78,4035,"Non-Binary","Often","Landfill","Low",4,2,3,1,6.38461538461538,1.30111524163569,2.46857306262511
269,67,"Rural","Mostly Animal-Based","Sometimes","Car","Mixed","House",1344,"Rarely",FALSE,4,"Moderate",118,2120,"Female",NA,"Landfill","High",2,2,1,1,4.22033898305085,2.47641509433962,1.76967540773905
270,43,"Urban","Balanced","Often","Walk","Non-Renewable","Apartment",1459,"Rarely",FALSE,1,NA,387,873,"Male","Rarely","Landfill","Low",2,1,3,1,1.28682170542636,6.01374570446735,2.13005674098937
271,24,"Rural","Balanced","Often","Public Transit","Mixed","House",1472,"Often",TRUE,2,"Low",376,1440,"Female",NA,"Composting","None",3,2,2,3,1.32446808510638,3.64583333333333,2.29703014184397
272,45,"Suburban","Mostly Animal-Based","Sometimes","Walk","Renewable","House",808,"Sometimes",TRUE,5,"High",198,4080,"Male","Rarely","Recycling","High",4,3,3,2,2.51515151515152,1.28676470588235,2.58019162210339
273,63,"Urban","Mostly Animal-Based",NA,"Public Transit","Mixed","House",2815,"Often",FALSE,1,"High",487,4424,"Female",NA,"Composting","Low",2,2,2,3,1.02258726899384,1.18670886075949,2.02092961297533
274,49,"Rural","Balanced",NA,"Car","Renewable","House",2000,"Often",TRUE,2,"High",201,3864,"Female","Often","Landfill","Low",2,3,1,1,2.47761194029851,1.35869565217391,1.78363075924724
275,58,"Suburban","Balanced","Rarely","Car","Non-Renewable","Apartment",1327,"Sometimes",TRUE,5,"High",379,3216,"Female","Rarely","Composting","High",3,1,1,3,1.31398416886544,1.63246268656716,1.49464468554326
276,48,"Urban","Mostly Plant-Based","Often","Car","Renewable","Apartment",2445,"Often",TRUE,5,"Low",178,1936,"Non-Binary","Often","Combination","Moderate",4,3,1,NA,2.79775280898876,2.71177685950413,NA
277,27,"Urban","Mostly Plant-Based",NA,"Car","Renewable","House",753,"Often",TRUE,2,"High",303,1808,"Prefer not to say","Sometimes","Recycling","None",3,3,1,2,1.64356435643564,2.9037610619469,2.05473254183825
278,74,"Suburban","Mostly Plant-Based","Often","Public Transit","Non-Renewable","Apartment",837,"Sometimes",FALSE,2,"Low",448,2078,"Prefer not to say","Sometimes","Composting","High",3,1,2,3,1.11160714285714,2.5264677574591,1.86380749003162
279,35,"Urban","Mostly Plant-Based","Rarely","Walk","Non-Renewable","Other",2859,"Always",TRUE,5,"High",256,4012,"Prefer not to say","Often","Combination","Moderate",4,1,3,NA,1.9453125,1.30857427716849,NA
280,36,"Rural","Balanced","Often","Bike","Non-Renewable","House",1699,"Often",FALSE,1,"Moderate",207,1985,"Female","Sometimes","Combination","High",3,1,3,NA,2.40579710144928,2.6448362720403,NA
281,73,"Urban","Mostly Animal-Based","Sometimes","Walk","Renewable","Apartment",1771,"Always",FALSE,1,"High",358,1923,"Female","Rarely","Recycling","Moderate",2,3,3,2,1.39106145251397,2.73010920436817,2.61211706568821
282,50,"Rural","Mostly Plant-Based","Often","Public Transit","Renewable","House",1809,"Sometimes",FALSE,4,"High",461,3417,"Female","Rarely","Landfill","High",4,3,2,1,1.08026030368764,1.53643546971027,1.96166957733979
283,56,"Suburban","Balanced","Rarely","Car","Non-Renewable","Other",1435,"Often",FALSE,2,"Moderate",298,2206,"Male","Rarely","Composting","Moderate",2,1,1,3,1.67114093959732,2.37987307343608,1.60510140130334
284,49,"Suburban","Mostly Animal-Based","Often","Bike","Renewable","House",2819,"Always",TRUE,5,"Moderate",458,3492,"Prefer not to say",NA,"Composting","High",4,3,3,3,1.08733624454148,1.50343642611684,2.65907726706583
285,71,"Rural","Balanced","Often","Car","Renewable","Other",2405,"Rarely",TRUE,1,"High",319,4425,"Female","Rarely","Combination","Moderate",5,3,1,NA,1.56112852664577,1.1864406779661,NA
286,59,"Urban","Balanced","Rarely","Bike","Mixed","Apartment",661,"Rarely",FALSE,5,"Low",490,3560,"Female","Often","Recycling","Moderate",3,2,3,2,1.01632653061224,1.4747191011236,2.14910456317358
287,45,"Rural","Mostly Animal-Based","Often","Public Transit","Mixed","Apartment",2602,"Rarely",FALSE,4,NA,291,979,"Non-Binary",NA,"Recycling","None",4,2,2,2,1.71134020618557,5.36261491317671,2.30739551193623
288,37,"Urban","Mostly Animal-Based",NA,"Bike","Renewable","Apartment",483,"Often",FALSE,4,"Moderate",262,3256,"Male","Rarely","Recycling","Low",5,3,3,2,1.90076335877863,1.61240786240786,2.55131712211865
289,66,"Urban","Balanced",NA,"Public Transit","Renewable","Other",850,"Always",TRUE,5,"Low",289,3544,"Female",NA,"Composting","None",5,3,2,3,1.72318339100346,1.4813769751693,2.42045603661728
290,28,"Urban","Balanced","Sometimes","Public Transit","Renewable","Other",1351,"Rarely",TRUE,4,"Low",58,3747,"Male",NA,"Composting","None",5,3,2,3,8.58620689655172,1.40112089671737,3.09873277932691
291,66,"Urban","Mostly Animal-Based","Rarely","Walk","Mixed","Apartment",2052,"Often",FALSE,1,"High",344,2159,"Non-Binary",NA,"Composting","None",3,2,3,3,1.44767441860465,2.4316813339509,2.48793557525556
292,44,"Suburban","Mostly Plant-Based","Sometimes","Car","Mixed","House",2382,"Rarely",TRUE,5,"Low",352,2558,"Prefer not to say","Sometimes","Recycling","None",5,2,1,2,1.41477272727273,2.05238467552776,1.64671574028005
293,28,"Rural","Mostly Plant-Based","Sometimes","Bike","Mixed","Other",1978,"Rarely",TRUE,5,"Low",69,3579,"Female","Sometimes","Landfill","Moderate",5,2,3,1,7.21739130434783,1.46689019279128,2.56842814971391
294,57,"Rural","Mostly Plant-Based","Rarely","Bike","Non-Renewable","Other",560,"Often",TRUE,5,"Low",105,946,"Female",NA,"Combination","None",5,1,3,NA,4.74285714285714,5.54968287526427,NA
295,38,"Urban","Balanced","Often","Walk","Mixed","Apartment",486,"Often",TRUE,5,NA,79,2228,"Male","Sometimes","Composting","None",5,2,3,3,6.30379746835443,2.35637342908438,2.96601708974388
296,64,"Suburban","Balanced",NA,"Walk","Mixed","House",2038,"Always",FALSE,1,"Low",436,4306,"Prefer not to say","Sometimes","Combination","Moderate",3,2,3,NA,1.14220183486239,1.21922898281468,NA
297,54,"Rural","Mostly Animal-Based",NA,"Car","Renewable","House",2988,"Often",FALSE,3,"Moderate",414,689,"Female",NA,"Landfill","Low",3,3,1,1,1.20289855072464,7.61973875181422,2.28226373025389
298,57,"Suburban","Mostly Animal-Based","Often","Walk","Non-Renewable","Other",1305,"Often",FALSE,3,NA,244,3847,"Non-Binary","Often","Landfill","Low",1,1,3,1,2.04098360655738,1.36469976605147,1.74056833726088
299,57,"Urban","Mostly Animal-Based","Sometimes","Public Transit","Mixed","Other",2064,"Often",FALSE,1,NA,200,2419,"Male","Sometimes","Combination","Low",1,2,2,NA,2.49,2.17031831335263,NA
300,61,"Urban","Mostly Plant-Based","Sometimes","Car","Mixed","Apartment",1993,"Sometimes",TRUE,1,NA,455,3588,"Female","Rarely","Composting","Low",3,2,1,3,1.09450549450549,1.46321070234114,1.75577161968466
301,67,"Rural","Mostly Plant-Based","Rarely","Public Transit","Non-Renewable","Apartment",2606,"Sometimes",TRUE,1,NA,335,4748,"Female","Sometimes","Landfill","Low",1,1,2,1,1.4865671641791,1.10572872788543,1.35922958920645
302,40,"Suburban","Balanced","Sometimes","Car","Non-Renewable","House",1630,"Rarely",FALSE,5,"High",67,1079,"Female",NA,"Recycling","High",5,1,1,2,7.43283582089552,4.86561631139944,2.2298452132295
303,22,"Urban","Mostly Plant-Based",NA,"Car","Non-Renewable","Other",2711,"Rarely",FALSE,4,"Moderate",364,1908,"Prefer not to say","Rarely","Combination","Moderate",5,1,1,NA,1.36813186813187,2.75157232704403,NA
304,33,"Suburban","Mostly Plant-Based",NA,"Bike","Non-Renewable","House",2094,"Often",TRUE,5,"Moderate",59,3680,"Non-Binary",NA,"Composting","Low",5,1,3,3,8.4406779661017,1.42663043478261,2.78673084008843
305,55,"Suburban","Balanced","Often","Walk","Non-Renewable","Apartment",1758,"Always",TRUE,5,"High",142,1556,"Female","Often","Combination","None",5,1,3,NA,3.50704225352113,3.37403598971722,NA
306,37,"Urban","Balanced","Often","Car","Non-Renewable","House",545,"Sometimes",FALSE,5,"Low",373,4028,"Prefer not to say","Often","Composting","High",3,1,1,3,1.33512064343164,1.30337636544191,1.46384970088735
307,73,"Rural","Balanced","Often","Walk","Renewable","House",682,"Always",TRUE,2,"Moderate",183,3360,"Prefer not to say","Often","Landfill","Moderate",5,3,3,1,2.72131147540984,1.5625,2.42838114754098
308,31,"Rural","Balanced","Sometimes","Car","Non-Renewable","Other",2160,"Rarely",FALSE,2,"Moderate",486,1168,"Prefer not to say",NA,"Composting","Low",2,1,1,3,1.02469135802469,4.49486301369863,1.75195543717233
309,41,"Urban","Mostly Animal-Based","Often","Public Transit","Renewable","Apartment",464,"Rarely",TRUE,4,"Low",159,4592,"Prefer not to say","Rarely","Landfill","High",5,3,2,1,3.13207547169811,1.14329268292683,2.12753681546249
310,63,"Rural","Mostly Plant-Based",NA,"Public Transit","Non-Renewable","Other",2204,"Always",TRUE,5,"Moderate",436,2190,"Prefer not to say","Rarely","Recycling","High",5,1,2,2,1.14220183486239,2.3972602739726,1.6539462108835
311,48,"Urban","Balanced",NA,"Bike","Mixed","Apartment",920,"Rarely",TRUE,5,"Moderate",142,3390,"Female",NA,"Composting","High",5,2,3,3,3.50704225352113,1.54867256637168,2.60557148198928
312,52,"Suburban","Mostly Plant-Based",NA,"Bike","Renewable","Apartment",1968,"Sometimes",FALSE,2,NA,260,792,"Female","Rarely","Composting","Moderate",5,3,3,3,1.91538461538462,6.62878787878788,3.25441724941725
313,48,"Rural","Mostly Plant-Based","Sometimes","Bike","Renewable","Other",773,"Always",FALSE,5,"Moderate",185,4686,"Female","Sometimes","Landfill","Moderate",5,3,3,1,2.69189189189189,1.12035851472471,2.38122504066166
314,39,"Urban","Balanced","Often","Car","Mixed","House",1453,"Sometimes",FALSE,4,NA,362,2145,"Prefer not to say","Sometimes","Composting","Low",4,2,1,3,1.37569060773481,2.44755244755245,1.88232430552873
315,72,"Urban","Mostly Animal-Based",NA,"Car","Non-Renewable","Apartment",2552,"Always",FALSE,4,"High",147,1813,"Non-Binary","Often","Composting","Low",4,1,1,3,3.38775510204082,2.8957528957529,1.82835079977937
316,48,"Urban","Mostly Plant-Based","Sometimes","Car","Mixed","Other",2650,"Often",FALSE,3,"Moderate",396,1566,"Non-Binary","Sometimes","Recycling","Low",5,2,1,2,1.25757575757576,3.35249042145594,1.76100661790317
317,75,"Suburban","Balanced",NA,"Bike","Mixed","House",2273,"Sometimes",TRUE,3,"High",216,1890,"Male","Rarely","Combination","None",5,2,3,NA,2.30555555555556,2.77777777777778,NA
318,38,"Urban","Mostly Animal-Based","Sometimes","Walk","Renewable","Other",1909,"Rarely",TRUE,4,"Low",254,3212,"Prefer not to say",NA,"Composting","Moderate",5,3,3,3,1.96062992125984,1.63449564134496,2.75951255626048
319,63,"Suburban","Mostly Animal-Based","Rarely","Car","Renewable","Apartment",1089,"Sometimes",TRUE,3,"High",383,3338,"Prefer not to say","Sometimes","Recycling","Moderate",5,3,1,2,1.30026109660574,1.57279808268424,1.887305917929
320,28,"Suburban","Mostly Animal-Based",NA,"Public Transit","Renewable","Other",2589,"Rarely",TRUE,5,"Low",184,3334,"Prefer not to say","Sometimes","Combination","Moderate",5,3,2,NA,2.70652173913044,1.5746850629874,NA
321,20,"Suburban","Mostly Plant-Based","Sometimes","Walk","Non-Renewable","House",650,"Rarely",FALSE,4,"High",211,536,"Female","Rarely","Landfill","None",5,1,3,1,2.36018957345972,9.79477611940298,2.61549656928627
322,25,"Urban","Mostly Animal-Based",NA,"Bike","Mixed","Other",1373,"Rarely",TRUE,5,"High",201,1941,"Male",NA,"Composting","None",5,2,3,3,2.47761194029851,2.7047913446677,2.61824032849662
323,40,"Suburban","Mostly Plant-Based","Rarely","Public Transit","Renewable","House",467,"Sometimes",FALSE,3,"Low",176,4654,"Non-Binary","Often","Recycling","High",4,3,2,2,2.82954545454545,1.12806188225183,2.29576073367973
324,96,"Urban","Balanced","Rarely","Bike","Non-Renewable","Other",2250,"Sometimes",FALSE,2,"Low",218,2062,"Male","Rarely","Combination","High",3,1,3,NA,2.28440366972477,2.54607177497575,NA
325,40,"Rural","Mostly Plant-Based","Often","Bike","Mixed","Other",2312,"Sometimes",FALSE,3,"Low",382,2308,"Female","Sometimes","Combination","High",5,2,3,NA,1.30366492146597,2.27469670710572,NA
326,73,"Urban","Balanced","Often","Car","Mixed","Apartment",2664,"Sometimes",FALSE,5,"Low",498,4834,"Male","Often","Landfill","Moderate",1,2,1,1,1,1.08605709557302,1.3086057095573
327,46,"Rural","Mostly Animal-Based",NA,"Walk","Non-Renewable","House",416,"Often",TRUE,4,"Low",164,1593,"Prefer not to say","Sometimes","Recycling","High",5,1,3,2,3.03658536585366,3.29566854990584,2.23322539157595
328,80,"Suburban","Mostly Plant-Based","Rarely","Bike","Mixed","House",1676,"Sometimes",FALSE,1,"High",111,4509,"Male","Often","Landfill","None",1,2,3,1,4.48648648648649,1.1643379906853,2.26508244771718
329,60,"Urban","Mostly Plant-Based","Sometimes","Bike","Renewable","House",2941,"Rarely",TRUE,4,"Moderate",111,3697,"Non-Binary","Often","Recycling","Moderate",5,3,3,2,4.48648648648649,1.4200703272924,2.79065568137789
330,25,"Rural","Mostly Plant-Based","Rarely","Public Transit","Mixed","Apartment",2433,"Rarely",FALSE,1,"High",324,879,"Prefer not to say","Rarely","Combination","Low",4,2,2,NA,1.53703703703704,5.97269624573379,NA
331,49,"Urban","Balanced",NA,"Car","Non-Renewable","House",1344,"Rarely",TRUE,3,NA,425,3530,"Prefer not to say","Rarely","Composting","Low",1,1,1,3,1.17176470588235,1.48725212464589,1.46590168305282
332,32,"Urban","Mostly Plant-Based","Often","Public Transit","Mixed","Apartment",2274,"Often",FALSE,1,"Moderate",368,2473,"Male","Rarely","Landfill","None",5,2,2,1,1.35326086956522,2.1229276182774,1.74761884878426
333,38,"Rural","Mostly Plant-Based","Rarely","Walk","Non-Renewable","Apartment",2869,"Rarely",TRUE,3,"Moderate",111,2952,"Female","Rarely","Composting","Low",4,1,3,3,4.48648648648649,1.77845528455285,2.42649417710393
334,27,"Suburban","Mostly Animal-Based","Rarely","Car","Non-Renewable","House",1052,"Always",FALSE,2,"High",324,2701,"Non-Binary","Often","Landfill","None",1,1,1,1,1.53703703703704,1.94372454646427,1.14807615835013
335,62,"Suburban","Mostly Animal-Based","Sometimes","Car","Renewable","Apartment",2941,"Rarely",FALSE,5,"Moderate",478,3687,"Non-Binary","Often","Landfill","Low",1,3,1,1,1.0418410041841,1.42392188771359,1.64657628918977
336,66,"Urban","Mostly Plant-Based","Often","Walk","Renewable","House",1344,"Sometimes",FALSE,1,"Moderate",358,2792,"Prefer not to say","Rarely","Landfill","High",4,3,3,1,1.39106145251397,1.88037249283668,2.32714339453506
337,39,"Rural","Balanced","Sometimes","Bike","Mixed","Other",2809,"Sometimes",FALSE,1,"High",416,3779,"Prefer not to say","Often","Composting","Low",3,2,3,3,1.19711538461538,1.38925641704155,2.35863718016569
338,34,"Suburban","Mostly Plant-Based","Rarely","Bike","Mixed","Other",407,"Sometimes",FALSE,5,"High",303,767,"Prefer not to say","Sometimes","Recycling","Low",5,2,3,2,1.64356435643564,6.84485006518905,2.74884144216247
339,19,"Suburban","Mostly Animal-Based","Sometimes","Public Transit","Non-Renewable","House",1540,"Always",FALSE,1,"High",473,3218,"Prefer not to say","Rarely","Landfill","High",1,1,2,1,1.05285412262156,1.63144810441268,1.36843022270342
340,62,"Urban","Mostly Animal-Based",NA,"Public Transit","Non-Renewable","Apartment",1761,"Sometimes",FALSE,4,"Moderate",469,4979,"Non-Binary",NA,"Recycling","High",4,1,2,2,1.06183368869936,1.05442860012051,1.51162622888199
341,32,"Rural","Mostly Animal-Based","Often","Walk","Mixed","Apartment",1183,"Always",TRUE,4,"High",365,1047,"Non-Binary","Often","Combination","None",5,2,3,NA,1.36438356164384,5.01432664756447,NA
342,27,"Rural","Mostly Animal-Based","Sometimes","Bike","Non-Renewable","House",920,"Often",FALSE,4,"Low",125,3395,"Male",NA,"Composting","Moderate",5,1,3,3,3.984,1.54639175257732,2.35303917525773
343,49,"Suburban","Mostly Animal-Based","Sometimes","Bike","Mixed","Other",721,"Sometimes",TRUE,3,"Low",267,3457,"Female",NA,"Composting","Low",5,2,3,3,1.86516853932584,1.51865779577669,2.43838263351025
344,25,"Rural","Mostly Plant-Based","Often","Bike","Non-Renewable","Other",1288,"Sometimes",TRUE,5,"Moderate",150,545,"Female","Rarely","Combination","None",5,1,3,NA,3.32,9.63302752293578,NA
345,21,"Suburban","Balanced","Rarely","Car","Mixed","Other",2429,"Always",TRUE,4,"Moderate",351,1947,"Prefer not to say","Rarely","Composting","None",5,2,1,3,1.41880341880342,2.6964560862866,1.911525950509
346,60,"Urban","Mostly Plant-Based","Often","Bike","Renewable","House",2526,"Sometimes",TRUE,1,NA,146,3794,"Non-Binary","Sometimes","Composting","High",5,3,3,3,3.41095890410959,1.38376383763838,2.8794722741748
347,26,"Urban","Balanced","Rarely","Public Transit","Renewable","Apartment",1077,"Rarely",FALSE,3,"Moderate",252,3414,"Prefer not to say","Sometimes","Recycling","None",3,3,2,2,1.97619047619048,1.5377855887522,2.25139760649427
348,27,"Suburban","Mostly Animal-Based",NA,"Bike","Mixed","Apartment",1458,"Always",FALSE,5,"Low",439,3812,"Non-Binary","Rarely","Recycling","None",4,2,3,2,1.13439635535308,1.37722980062959,2.15116261559827
349,33,"Suburban","Mostly Plant-Based","Sometimes","Bike","Mixed","House",1792,"Often",FALSE,3,NA,266,3186,"Non-Binary","Often","Composting","Low",3,2,3,3,1.87218045112782,1.64783427495292,2.45200147260807
350,74,"Urban","Balanced","Sometimes","Car","Non-Renewable","House",1083,"Rarely",TRUE,1,"High",417,1438,"Female","Rarely","Recycling","None",3,1,1,2,1.19424460431655,3.65090403337969,1.48451486376962
351,70,"Suburban","Mostly Plant-Based","Rarely","Walk","Non-Renewable","House",2118,"Rarely",FALSE,4,"Moderate",182,3560,"Female",NA,"Landfill","Moderate",5,1,3,1,2.73626373626374,1.4747191011236,1.82109828373873
352,52,"Rural","Mostly Plant-Based","Often","Bike","Non-Renewable","House",2645,"Always",TRUE,1,NA,148,3920,"Male",NA,"Combination","Moderate",5,1,3,NA,3.36486486486487,1.33928571428571,NA
353,44,"Rural","Mostly Plant-Based","Sometimes","Walk","Non-Renewable","Other",2956,"Often",FALSE,5,NA,261,4174,"Male","Sometimes","Recycling","High",5,1,3,2,1.90804597701149,1.25778629611883,1.91658322731303
354,70,"Suburban","Mostly Plant-Based","Sometimes","Walk","Mixed","Other",2020,"Always",TRUE,1,"Moderate",442,3382,"Prefer not to say",NA,"Recycling","Low",5,2,3,2,1.12669683257919,1.55233589591957,2.16790327284988
355,70,"Rural","Mostly Animal-Based","Often","Car","Renewable","House",1228,"Often",TRUE,1,"Moderate",151,1017,"Prefer not to say","Rarely","Recycling","Moderate",5,3,1,2,3.29801324503311,5.1622418879056,2.44602551329387
356,22,"Urban","Balanced","Often","Walk","Non-Renewable","Apartment",1411,"Always",TRUE,2,"Low",488,3429,"Non-Binary",NA,"Composting","None",4,1,3,3,1.02049180327869,1.53105861767279,2.05515504209515
357,24,"Rural","Balanced",NA,"Car","Mixed","Other",1576,"Always",FALSE,1,"High",126,2595,"Prefer not to say","Sometimes","Composting","None",3,2,1,3,3.95238095238095,2.02312138728324,2.09755023396642
358,45,"Suburban","Mostly Plant-Based","Often","Bike","Renewable","House",777,"Often",FALSE,1,"High",273,3015,"Male","Sometimes","Landfill","High",5,3,3,1,1.82417582417582,1.74129353233831,2.35654693565141
359,33,"Urban","Mostly Plant-Based","Rarely","Walk","Non-Renewable","Other",751,"Often",TRUE,2,NA,375,554,"Prefer not to say","Often","Composting","High",4,1,3,3,1.328,9.47653429602888,2.88045342960289
360,63,"Urban","Balanced","Rarely","Bike","Non-Renewable","House",606,"Often",FALSE,3,"Low",313,3455,"Non-Binary","Sometimes","Combination","None",1,1,3,NA,1.59105431309904,1.51953690303907,NA
361,63,"Suburban","Mostly Plant-Based","Often","Car","Renewable","Apartment",813,"Always",TRUE,3,"Moderate",136,1128,"Female",NA,"Landfill","Moderate",5,3,1,1,3.66176470588235,4.65425531914894,2.23160200250313
362,35,"Suburban","Mostly Animal-Based",NA,"Public Transit","Mixed","House",879,"Rarely",FALSE,2,"Moderate",423,4216,"Prefer not to say",NA,"Landfill","Low",1,2,2,1,1.17730496453901,1.24525616698292,1.64225611315219
363,18,"Suburban","Mostly Animal-Based","Often","Walk","Renewable","House",2350,"Often",TRUE,4,"Low",142,3465,"Male","Rarely","Recycling","High",5,3,3,2,3.50704225352113,1.51515151515152,2.70221937686726
364,45,"Urban","Mostly Plant-Based","Often","Bike","Renewable","House",1345,"Rarely",TRUE,4,"High",123,1234,"Female","Rarely","Composting","High",5,3,3,3,4.04878048780488,4.25445705024311,3.2303237538048
365,32,"Suburban","Balanced","Sometimes","Public Transit","Mixed","Apartment",987,"Sometimes",TRUE,3,"Moderate",250,3000,"Male","Sometimes","Recycling","Moderate",4,2,2,2,1.992,1.75,1.9742
366,65,"Rural","Mostly Animal-Based","Rarely","Car","Non-Renewable","House",1876,"Often",FALSE,1,"Low",400,4500,"Male","Often","Landfill","Low",1,1,1,1,1.245,1.16666666666667,1.04116666666667
367,28,"Suburban","Balanced","Often","Bike","Renewable","Apartment",854,"Sometimes",FALSE,3,"Moderate",280,3200,"Non-Binary","Sometimes","Recycling","Moderate",3,3,3,2,1.77857142857143,1.640625,2.54191964285714
368,62,"Rural","Mostly Plant-Based",NA,"Walk","Renewable","House",1234,"Rarely",TRUE,4,"High",150,2000,"Female","Rarely","Recycling","High",4,3,3,2,3.32,2.625,2.7945
369,58,"Urban","Balanced","Often","Car","Mixed","House",1450,"Rarely",TRUE,1,"Moderate",69,2334,"Female","Often","Landfill","High",5,2,1,1,7.21739130434783,2.24935732647815,2.0466748630826
370,19,"Rural","Mostly Plant-Based","Rarely","Bike","Mixed","Other",1444,"Sometimes",TRUE,4,NA,81,3125,"Non-Binary","Sometimes","Combination","Low",5,2,3,NA,6.14814814814815,1.68,NA
371,40,"Urban","Balanced","Often","Walk","Mixed","Other",1401,"Sometimes",TRUE,4,"Moderate",441,4219,"Prefer not to say",NA,"Composting","High",5,2,3,3,1.12925170068027,1.24437070395828,2.33736224046386
372,23,"Urban","Balanced","Often","Car","Non-Renewable","Other",1652,"Rarely",TRUE,4,NA,171,1485,"Non-Binary","Rarely","Composting","Low",5,1,1,3,2.91228070175439,3.53535353535354,1.84476342371079
373,38,"Rural","Balanced",NA,"Car","Mixed","House",1058,"Rarely",FALSE,3,"High",89,3638,"Female","Often","Landfill","Moderate",3,2,1,1,5.59550561797753,1.44310060472787,1.80386062227054
374,36,"Rural","Balanced",NA,"Car","Renewable","Apartment",2556,"Always",TRUE,2,"Moderate",145,3898,"Prefer not to say","Rarely","Combination","Moderate",5,3,1,NA,3.43448275862069,1.34684453565931,NA
375,71,"Urban","Balanced","Rarely","Public Transit","Non-Renewable","House",1433,"Sometimes",TRUE,4,NA,128,3641,"Prefer not to say","Sometimes","Landfill","High",3,1,2,1,3.890625,1.44191156275748,1.63325365627575
376,21,"Rural","Balanced","Sometimes","Public Transit","Renewable","House",462,"Always",FALSE,5,NA,324,3814,"Prefer not to say","Rarely","Combination","Low",4,3,2,NA,1.53703703703704,1.37650760356581,NA
377,64,"Suburban","Mostly Animal-Based",NA,"Public Transit","Renewable","Apartment",2375,"Sometimes",FALSE,2,NA,317,931,"Female","Rarely","Recycling","High",5,3,2,2,1.57097791798107,5.6390977443609,2.6210075662342
378,27,"Rural","Mostly Animal-Based","Rarely","Public Transit","Mixed","House",934,"Always",TRUE,5,"Moderate",262,1159,"Male","Often","Recycling","None",4,2,2,2,1.90076335877863,4.5297670405522,2.24305303993308
379,67,"Suburban","Mostly Plant-Based","Sometimes","Public Transit","Renewable","House",2424,"Rarely",FALSE,4,NA,360,2838,"Prefer not to say","Often","Composting","Low",4,3,2,3,1.38333333333333,1.84989429175476,2.42332276250881
380,59,"Suburban","Balanced",NA,"Bike","Mixed","House",830,"Rarely",FALSE,2,"Low",475,4722,"Female","Rarely","Recycling","Low",3,2,3,2,1.04842105263158,1.11181702668361,2.11602380793152
381,66,"Urban","Mostly Animal-Based","Often","Walk","Mixed","Other",1917,"Often",FALSE,5,"High",188,614,"Prefer not to say","Sometimes","Landfill","Low",5,2,3,1,2.64893617021277,8.55048859934853,2.81994247695613
382,59,"Suburban","Mostly Animal-Based","Often","Bike","Mixed","Other",818,"Rarely",FALSE,2,"Low",197,3022,"Male","Sometimes","Composting","Moderate",5,2,3,3,2.52791878172589,1.73726009265387,2.52651788743798
383,58,"Rural","Mostly Plant-Based","Sometimes","Car","Mixed","Apartment",1769,"Often",FALSE,2,NA,135,794,"Female","Rarely","Landfill","High",3,2,1,1,3.68888888888889,6.61209068010076,2.13009795689896
